Epsilon,Anonymization Bound,Randomization Bound
1.9,0.3571249761720693,0.42665259084548324
2.0,0.30006553960194604,0.3637223551324028
2.1,0.24929106810407292,0.30840550825133406
2.2,0.20462650111669986,0.25525937478371025
2.3,0.17003428481482596,0.21484082039672028
